acteurs,date,descriptions,duree,episode,genre,langue,nb_saison,pays,public,score,titre,titre_original,url
"Joel Hodgson,Joel Hodgson,Michael J. Nelson,Trace Beaulieu",1988–1999,"In the not-too-distant future Joel Robinson is held captive by Dr. Forrester and TV's Frank, forced to watch B-Grade movies on the Satellite of Love with the help of his robot friends: Cambot, Gypsy, Tom Servo and Crow T. Robot.",92,199,"Comedy,Sci-Fi",,11 seasons,United States,TV-14,9,Mystery Science Theater 3000,,
"Natsuki Hanae,Zach Aguilar,Abby Trott",2019– ,"A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his family and cure his sister.",24,44,"Animation,Action,Adventure",,3 seasons,Japan,TV-MA,9,Demon Slayer: Kimetsu no Yaiba,Kimetsu no Yaiba,
"Adam Reed,H. Jon Benjamin,Judy Greer,Amber Nash",2009– ,Covert black ops and espionage take a back seat to zany personalities and relationships between secret agents and drones.,22,135,"Animation,Action,Comedy",,13 seasons,United States,TV-MA,9,Archer,,
"Russell T. Davies,Olly Alexander,Nathaniel Curtis,Shaun Dooley",2021,"A chronicle of four friends during a decade in which everything changed, including the rise of AIDS.",239,5,"Comedy,Drama,History",,1 Season,United Kingdom,TV-MA,9,It's a Sin,,
"Rowan Atkinson,Tony Robinson,Tim McInnerny",1986,,176,6,Comedy,,1 Season,United Kingdom,TV-PG,9,Blackadder II,,
"Alice Oseman,Joe Locke,Kit Connor,Yasmin Finney",2022– ,Teens Charlie and Nick discover their unlikely friendship might be something more as they navigate school and young love in this coming-of-age series.,30,24,"Drama,Romance",,1 Season,United Kingdom,TV-14,9,Heartstopper,,
"Drew Goddard,Charlie Cox,Vincent D'Onofrio,Deborah Ann Woll",2015–2018,"A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil.",54,39,"Action,Crime,Drama",,3 seasons,United States,TV-MA,9,Daredevil,,
"Måns Mårlind,Hans Rosenfeldt,Björn Stein,Sofia Helin,Rafael Pettersson,Sarah Boberg",2011–2018,"When a body is found on the bridge between Denmark and Sweden, right on the border, Danish inspector Martin Rohde and Swedish Saga Norén have to share jurisdiction and work together to find the killer.",60,38,"Crime,Mystery,Thriller",,4 seasons,"Sweden,Denmark,Germany",TV-MA,9,The Bridge,Bron/Broen,
"Jun Fukuyama,Takahiro Sakurai,Johnny Yong Bosch",2006–2008,"After being given a mysterious power to control others, an outcast prince becomes the masked leader of the rebellion against an all-powerful empire.",24,54,"Animation,Action,Drama",,2 seasons,Japan,TV-14,9,Code Geass,Kôdo giasu - Hangyaku no rurûshu: Code Geass - Lelouch of the Rebellion,
"Erdal Besikçioglu,Inanç Konukçu,Ege Aydan",2010–2019,,90,105,"Crime,Drama,Mystery",,4 seasons,Turkey,TV-14,9,Behzat Ç.: Bir Ankara Polisiyesi,,
"Donald Glover,Donald Glover,Brian Tyree Henry,LaKeith Stanfield",2016–2022,"Earn and his cousin Alfred, based in Atlanta, try to make their way in the world through the rap scene. Along the way they come face-to-face with social and economic issues touching on race, relationships, poverty, status, and parenthood.",30,41,"Comedy,Drama,Music",,4 seasons,United States,TV-MA,9,Atlanta,,
"Genndy Tartakovsky,Aaron LaPlante,Laëtitia Eïdo,Fred Tatasciore",2019– ,A caveman and a dinosaur bond over shared tragedy and work together to survive in a perilous prehistoric world.,22,20,"Animation,Action,Adventure",,2 seasons,United States,TV-MA,9,Primal,,
"James Manos Jr.,Michael C. Hall,Jennifer Carpenter,David Zayas",2006–2013,"He's smart. He's lovable. He's Dexter Morgan, America's favorite serial killer, who spends his days solving crimes and nights committing them. Golden Globe winner Michael C. Hall stars in the hit SHOWTIME Original Series.",53,96,"Crime,Drama,Mystery",,8 seasons,United States,TV-MA,9,Dexter,,
"Andrew Jarecki,Robert Durst,Gary Napoli",2015,"Filmmaker Andrew Jarecki examines the complicated life of reclusive real estate icon Robert Durst, the key suspect in a series of unsolved crimes.",279,6,"Documentary,Biography,Crime",,1 Season,United States,TV-14,9,The Jinx: The Life and Deaths of Robert Durst,,
"Chris Carter,David Duchovny,Gillian Anderson,Mitch Pileggi",1993–2018,"Two F.B.I. Agents, Fox Mulder the believer and Dana Scully the skeptic, investigate the strange and unexplained, while hidden forces work to impede their efforts.",45,217,"Crime,Drama,Mystery",,11 seasons,United States,TV-14,9,The X-Files,The X Files,
"Dan Fogelman,Milo Ventimiglia,Mandy Moore,Sterling K. Brown",2016–2022,"A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents.",45,106,"Comedy,Drama,Romance",,6 seasons,United States,TV-14,9,This Is Us,,
"Greg Daniels,Michael Schur,Amy Poehler,Jim O'Heir,Nick Offerman",2009–2015,The absurd antics of an Indiana town's public officials as they pursue sundry projects to make their city a better place.,22,124,Comedy,,7 seasons,United States,TV-14,9,Parks and Recreation,,
"Masashi Kishimoto,Alexandre Crepet,Junko Takeuchi,Maile Flanagan",2007–2017,"Naruto Uzumaki, is a loud, hyperactive, adolescent ninja who constantly searches for approval and recognition, as well as to become Hokage, who is acknowledged as the leader and strongest of all ninja in the village.",24,502,"Animation,Action,Adventure",,9 years,Japan,TV-PG,9,Naruto: Shippuden,Naruto: Shippûden,
"Dermot Morgan,Ardal O'Hanlon,Frank Kelly",1995–1998,"Three misfit priests and their housekeeper live on Craggy Island, not the peaceful and quiet part of Ireland that it seems to be.",25,25,Comedy,,3 seasons,United Kingdom,TV-14,9,Father Ted,,
"David Milch,Timothy Olyphant,Ian McShane,Molly Parker",2004–2006,"A show set in the late 1800s, revolving around the characters of Deadwood, South Dakota; a town of deep corruption and crime.",55,36,"Crime,Drama,History",,3 seasons,United States,TV-MA,9,Deadwood,,
"Arunabh Kumar,Shreyansh Pandey,Naveen Kasturia,Shivankit Singh Parihar,Abhilash Thapliyal",2021– ,It is the story of the journey of three UPSC (public service competitive exams in India) aspirants and their friendship against all odds.,45,5,Drama,,1 Season,India,,9,Aspirants,,
"Taylor Sheridan,Sam Elliott,Tim McGraw,Faith Hill",2021–2022,Follows the Dutton family as they embark on a journey west.,60,10,"Drama,Western",,1 Season,United States,TV-MA,9,1883,,
"Jed Mercurio,Martin Compston,Vicky McClure,Adrian Dunbar",2012–2021,"Drama series following the investigations of AC-12, a controversial police anti-corruption unit.",60,36,"Crime,Drama,Mystery",,6 seasons,United Kingdom,TV-14,9,Line of Duty,,
"Harish Bhimani,Nitish Bharadwaj,Mukesh Khanna",1988–1990,,45,94,"Adventure,Drama,History",,1 Season,India,TV-14,9,Mahabharat,,
"Jack Kirby,George Newbern,Kevin Conroy,Phil LaMarr",2004–2006,A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.,23,39,"Animation,Action,Adventure",,3 seasons,United States,TV-Y7-FV,9,Justice League Unlimited,,
"Armando Iannucci,Chris Addison,James Smith,Peter Capaldi",2005–2012,The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.,29,24,Comedy,,4 seasons,United Kingdom,TV-MA,9,The Thick of It,,
