acteurs,date,descriptions,duree,genre,langue,pays,public,score,titre,titre_original,url
"Anthony Gonzalez,Gael García Bernal,Benjamin Bratt",2017,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",105,"Animation,Adventure,Comedy","English,Spanish",United States,PG,8.4,Coco,,"https://m.media-amazon.com/images/M/MV5BYjQ5NjM0Y2YtNjZkNC00ZDhkLWJjMWItN2QyNzFkMDE3ZjAxXkEyXkFqcGdeQXVyODIxMzk5NjA@._V1_QL75_UY281_CR4,0,190,281_.jpg"
"Joaquin Phoenix,Robert De Niro,Zazie Beetz",2019,A mentally troubled stand-up comedian embarks on a downward spiral that leads to the creation of an iconic villain.,122,"Crime,Drama,Thriller",English,"United States,Canada",R,8.4,Joker,,"https://m.media-amazon.com/images/M/MV5BNGVjNWI4ZGUtNzE0MS00YTJmLWE0ZDctN2ZiYTk2YmI3NTYyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg"
"Christian Bale,Tom Hardy,Anne Hathaway",2012,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Selina Kyle, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.",164,"Action,Drama","English,Arabic","United States,United Kingdom",PG-13,8.4,The Dark Knight Rises,,"https://m.media-amazon.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_QL75_UX190_CR0,0,190,281_.jpg"
"F. Murray Abraham,Tom Hulce,Elizabeth Berridge",1984,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him.",160,"Biography,Drama,Music","English,Italian,Latin,German,French","United States,France,Italy",PG,8.4,Amadeus,,"https://m.media-amazon.com/images/M/MV5BNWJlNzUzNGMtYTAwMS00ZjI2LWFmNWQtODcxNWUxODA5YmU1XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_QL75_UX190_CR0,7,190,281_.jpg"
"Brad Pitt,Diane Kruger,Eli Roth",2009,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",153,"Adventure,Drama,War","English,German,French,Italian","Germany,United States",R,8.3,Inglourious Basterds,,"https://m.media-amazon.com/images/M/MV5BOTJiNDEzOWYtMTVjOC00ZjlmLWE0NGMtZmE1OWVmZDQ2OWJhXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_QL75_UX190_CR0,0,190,281_.jpg"
"Choi Min-sik,Yoo Ji-tae,Kang Hye-jeong",2003,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",120,"Action,Drama,Mystery",Korean,South Korea,R,8.4,Oldboy,Oldeuboi,"https://m.media-amazon.com/images/M/MV5BMTI3NTQyMzU5M15BMl5BanBnXkFtZTcwMTM2MjgyMQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg"
"Kevin Spacey,Annette Bening,Thora Birch",1999,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,122,Drama,English,United States,R,8.4,American Beauty,,"https://m.media-amazon.com/images/M/MV5BNTBmZWJkNjctNDhiNC00MGE2LWEwOTctZTk5OGVhMWMyNmVhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX190_CR0,0,190,281_.jpg"
"Shameik Moore,Jake Johnson,Hailee Steinfeld",2018,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",117,"Animation,Action,Adventure","English,Spanish",United States,PG,8.4,Spider-Man: Into the Spider-Verse,,"https://m.media-amazon.com/images/M/MV5BMjMwNDkxMTgzOF5BMl5BanBnXkFtZTgwNTkwNTQ3NjM@._V1_QL75_UX190_CR0,0,190,281_.jpg"
"Peter Sellers,George C. Scott,Sterling Hayden",1964,"An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.",95,"Comedy,War","English,Russian","United Kingdom,United States",PG,8.4,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,,"https://m.media-amazon.com/images/M/MV5BZWI3ZTMxNjctMjdlNS00NmUwLWFiM2YtZDUyY2I3N2MxYTE0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX190_CR0,7,190,281_.jpg"
"William Holden,Gloria Swanson,Erich von Stroheim",1950,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,110,"Drama,Film-Noir",English,United States,Passed,8.4,Sunset Blvd.,,"https://m.media-amazon.com/images/M/MV5BMTU0NTkyNzYwMF5BMl5BanBnXkFtZTgwMDU0NDk5MTI@._V1_QL75_UX190_CR0,2,190,281_.jpg"
"Tyrone Power,Marlene Dietrich,Charles Laughton",1957,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,116,"Crime,Drama,Mystery","English,German",United States,Approved,8.4,Witness for the Prosecution,,"https://m.media-amazon.com/images/M/MV5BNDQwODU5OWYtNDcyNi00MDQ1LThiOGMtZDkwNWJiM2Y3MDg0XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_QL75_UX190_CR0,5,190,281_.jpg"
"Charles Chaplin,Paulette Goddard,Jack Oakie",1940,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,125,"Comedy,Drama,War","English,Esperanto,Latin",United States,G,8.4,The Great Dictator,,"https://m.media-amazon.com/images/M/MV5BMmExYWJjNTktNGUyZS00ODhmLTkxYzAtNWIzOGEyMGNiMmUwXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UY281_CR0,0,190,281_.jpg"
"Kirk Douglas,Ralph Meeker,Adolphe Menjou",1957,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.",88,"Drama,War","English,German,Latin",United States,Approved,8.4,Paths of Glory,,"https://m.media-amazon.com/images/M/MV5BOTI5Nzc0OTMtYzBkMS00NjkxLThmM2UtNjM2ODgxN2M5NjNkXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_QL75_UX190_CR0,5,190,281_.jpg"
"Ulrich Mühe,Martina Gedeck,Sebastian Koch",2006,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.",137,"Drama,Mystery,Thriller",German,"Germany,France",R,8.4,The Lives of Others,Das Leben der Anderen,
"Jack Nicholson,Shelley Duvall,Danny Lloyd",1980,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",146,"Drama,Horror",English,"United Kingdom,United States",R,8.4,The Shining,,"https://m.media-amazon.com/images/M/MV5BZWFlYmY2MGEtZjVkYS00YzU4LTg0YjQtYzY1ZGE3NTA5NGQxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,4,190,281_.jpg"
"Sigourney Weaver,Michael Biehn,Carrie Henn",1986,"Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators.",137,"Action,Adventure,Sci-Fi","English,Spanish","United Kingdom,United States",R,8.4,Aliens,,"https://m.media-amazon.com/images/M/MV5BZGU2OGY5ZTYtMWNhYy00NjZiLWI0NjUtZmNhY2JhNDRmODU3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX190_CR0,7,190,281_.jpg"
"Ben Burtt,Elissa Knight,Jeff Garlin",2008,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",98,"Animation,Adventure,Family","English,Hindi",United States,G,8.4,WALL·E,,"https://m.media-amazon.com/images/M/MV5BMjExMTg5OTU0NF5BMl5BanBnXkFtZTcwMjMxMzMzMw@@._V1_QL75_UX190_CR0,0,190,281_.jpg"
"Guy Pearce,Carrie-Anne Moss,Joe Pantoliano",2000,A man with short-term memory loss attempts to track down his wife's murderer.,113,"Mystery,Thriller",English,United States,R,8.4,Memento,,"https://m.media-amazon.com/images/M/MV5BZTcyNjk1MjgtOWI3Mi00YzQwLWI5MTktMzY4ZmI2NDAyNzYzXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UY281_CR1,0,190,281_.jpg"
"Martin Sheen,Marlon Brando,Robert Duvall",1979,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,147,"Drama,Mystery,War","English,French,Vietnamese",United States,R,8.5,Apocalypse Now,,"https://m.media-amazon.com/images/M/MV5BYmQyNTA1ZGItNjZjMi00NzFlLWEzMWEtNWMwN2Q2MjJhYzEyXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX190_CR0,5,190,281_.jpg"
"Harrison Ford,Karen Allen,Paul Freeman",1981,"Archaeology professor Indiana Jones ventures to seize a biblical artefact known as the Ark of the Covenant. While doing so, he puts up a fight against Renee and a troop of Nazis.",115,"Action,Adventure","English,German,Hebrew,Spanish,Arabic,Nepali",United States,PG,8.4,Indiana Jones and the Raiders of the Lost Ark,Raiders of the Lost Ark,"https://m.media-amazon.com/images/M/MV5BNTU2ODkyY2MtMjU1NC00NjE1LWEzYjgtMWQ3MzRhMTE0NDc0XkEyXkFqcGdeQXVyMjM4MzQ4OTQ@._V1_QL75_UY281_CR1,0,190,281_.jpg"
"Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo",2018,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,149,"Action,Adventure,Sci-Fi",English,United States,PG-13,8.4,Avengers: Infinity War,,"https://m.media-amazon.com/images/M/MV5BMjMxNjY2MDU1OV5BMl5BanBnXkFtZTgwNzY1MTUwNTM@._V1_QL75_UX190_CR0,0,190,281_.jpg"
"Charles Chaplin,Virginia Cherrill,Florence Lee",1931,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",87,"Comedy,Drama,Romance","None,English",United States,G,8.5,City Lights,,
"Jamie Foxx,Christoph Waltz,Leonardo DiCaprio",2012,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi.",165,"Drama,Western","English,German,French,Italian",United States,R,8.4,Django Unchained,,"https://m.media-amazon.com/images/M/MV5BMjIyNTQ5NjQ1OV5BMl5BanBnXkFtZTcwODg1MDU4OA@@._V1_QL75_UX190_CR0,0,190,281_.jpg"
"Philippe Noiret,Enzo Cannavale,Antonella Attili",1988,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,155,"Drama,Romance",Italian,"Italy,France",PG,8.5,Cinema Paradiso,Nuovo Cinema Paradiso,"https://m.media-amazon.com/images/M/MV5BM2FhYjEyYmYtMDI1Yy00YTdlLWI2NWQtYmEzNzAxOGY1NjY2XkEyXkFqcGdeQXVyNTA3NTIyNDg@._V1_QL75_UX190_CR0,0,190,281_.jpg"
"Sigourney Weaver,Tom Skerritt,John Hurt",1979,The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission.,117,"Horror,Sci-Fi",English,"United Kingdom,United States",R,8.5,Alien,,"https://m.media-amazon.com/images/M/MV5BOGQzZTBjMjQtOTVmMS00NGE5LWEyYmMtOGQ1ZGZjNmRkYjFhXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX190_CR0,3,190,281_.jpg"
"James Stewart,Grace Kelly,Wendell Corey",1954,"A wheelchair-bound photographer spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend.",112,"Mystery,Thriller",English,United States,PG,8.5,Rear Window,,"https://m.media-amazon.com/images/M/MV5BNGUxYWM3M2MtMGM3Mi00ZmRiLWE0NGQtZjE5ODI2OTJhNTU0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UY281_CR1,0,190,281_.jpg"
"François Cluzet,Omar Sy,Anne Le Ny",2011,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",112,"Biography,Comedy,Drama","French,English",France,R,8.5,The Intouchables,Intouchables,"https://m.media-amazon.com/images/M/MV5BMTYxNDA3MDQwNl5BMl5BanBnXkFtZTcwNTU4Mzc1Nw@@._V1_QL75_UX190_CR0,0,190,281_.jpg"
"Charles Chaplin,Paulette Goddard,Henry Bergman",1936,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,87,"Comedy,Drama,Romance",English,United States,G,8.5,Modern Times,,"https://m.media-amazon.com/images/M/MV5BYjJiZjMzYzktNjU0NS00OTkxLWEwYzItYzdhYWJjN2QzMTRlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX190_CR0,7,190,281_.jpg"
"Humphrey Bogart,Ingrid Bergman,Paul Henreid",1942,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,102,"Drama,Romance,War","English,French,German,Italian",United States,PG,8.5,Casablanca,,"https://m.media-amazon.com/images/M/MV5BY2IzZGY2YmEtYzljNS00NTM5LTgwMzUtMzM1NjQ4NGI0OTk0XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_QL75_UX190_CR0,3,190,281_.jpg"
"Henry Fonda,Charles Bronson,Claudia Cardinale",1968,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,165,Western,"Italian,English,Spanish","Italy,United States",PG-13,8.5,Once Upon a Time in the West,C'era una volta il West,"https://m.media-amazon.com/images/M/MV5BODQ3NDExOGYtMzI3Mi00NWRlLTkwNjAtNjc4MDgzZGJiZTA1XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX190_CR0,1,190,281_.jpg"
"Tsutomu Tatsumi,Ayano Shiraishi,Akemi Yamaguchi",1988,A young boy and his little sister struggle to survive in Japan during World War II.,89,"Animation,Drama,War",Japanese,Japan,Not Rated,8.5,Grave of the Fireflies,Hotaru no haka,"https://m.media-amazon.com/images/M/MV5BZmY2NjUzNDQtNTgxNC00M2Q4LTljOWQtMjNjNDBjNWUxNmJlXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UX190_CR0,2,190,281_.jpg"
"Miles Teller,J.K. Simmons,Melissa Benoist",2014,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,106,"Drama,Music",English,United States,R,8.5,Whiplash,,"https://m.media-amazon.com/images/M/MV5BOTA5NDZlZGUtMjAxOS00YTRkLTkwYmMtYWQ0NWEwZDZiNjEzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX190_CR0,0,190,281_.jpg"
"Tatsuya Nakadai,Akira Ishihama,Shima Iwashita",1962,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.",133,"Action,Drama,Mystery",Japanese,Japan,Not Rated,8.6,Harakiri,Seppuku,
"Christian Bale,Hugh Jackman,Scarlett Johansson",2006,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",130,"Drama,Mystery,Sci-Fi",English,"United Kingdom,United States",PG-13,8.5,The Prestige,,"https://m.media-amazon.com/images/M/MV5BMjA4NDI0MTIxNF5BMl5BanBnXkFtZTYwNTM0MzY2._V1_QL75_UX190_CR0,0,190,281_.jpg"
"Leonardo DiCaprio,Matt Damon,Jack Nicholson",2006,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,151,"Crime,Drama,Thriller","English,Cantonese","United States,Hong Kong",R,8.5,The Departed,,"https://m.media-amazon.com/images/M/MV5BMTI1MTY2OTIxNV5BMl5BanBnXkFtZTYwNjQ4NjY3._V1_QL75_UY281_CR0,0,190,281_.jpg"
"Alexandre Rodrigues,Leandro Firmino,Matheus Nachtergaele",2002,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",130,"Crime,Drama",Portuguese,"Brazil,France,Germany",R,8.6,City of God,Cidade de Deus,"https://m.media-amazon.com/images/M/MV5BOTMwYjc5ZmItYTFjZC00ZGQ3LTlkNTMtMjZiNTZlMWQzNzI5XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX190_CR0,1,190,281_.jpg"
"Jodie Foster,Anthony Hopkins,Lawrence A. Bonney",1991,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",118,"Crime,Drama,Thriller","English,Latin",United States,R,8.6,The Silence of the Lambs,,"https://m.media-amazon.com/images/M/MV5BNjNhZTk0ZmEtNjJhMi00YzFlLWE1MmEtYzM1M2ZmMGMwMTU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UY281_CR0,0,190,281_.jpg"
"James Stewart,Donna Reed,Lionel Barrymore",1946,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,130,"Drama,Family,Fantasy","English,French",United States,PG,8.6,It's a Wonderful Life,,"https://m.media-amazon.com/images/M/MV5BZjc4NDZhZWMtNGEzYS00ZWU2LThlM2ItNTA0YzQ0OTExMTE2XkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_QL75_UY281_CR2,0,190,281_.jpg"
"Kevin Spacey,Gabriel Byrne,Chazz Palminteri",1995,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",106,"Crime,Drama,Mystery","English,Hungarian,Spanish,French","United States,Germany",R,8.5,The Usual Suspects,,"https://m.media-amazon.com/images/M/MV5BYTViNjMyNmUtNDFkNC00ZDRlLThmMDUtZDU2YWE4NGI2ZjVmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX190_CR0,1,190,281_.jpg"
"Morgan Freeman,Brad Pitt,Kevin Spacey",1995,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",127,"Crime,Drama,Mystery",English,United States,R,8.6,Se7en,,"https://m.media-amazon.com/images/M/MV5BOTUwODM5MTctZjczMi00OTk4LTg3NWUtNmVhMTAzNTNjYjcyXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX190_CR0,8,190,281_.jpg"
"Robert De Niro,Ray Liotta,Joe Pesci",1990,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",145,"Biography,Crime,Drama","English,Italian",United States,R,8.7,Goodfellas,,"https://m.media-amazon.com/images/M/MV5BY2NkZjEzMDgtN2RjYy00YzM1LWI4ZmQtMjIwYjFjNmI3ZGEwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX190_CR0,2,190,281_.jpg"
"Jack Nicholson,Louise Fletcher,Michael Berryman",1975,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.",133,Drama,English,United States,R,8.7,One Flew Over the Cuckoo's Nest,,"https://m.media-amazon.com/images/M/MV5BZjA0OWVhOTAtYWQxNi00YzNhLWI4ZjYtNjFjZTEyYjJlNDVlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,0,190,281_.jpg"
"Mark Hamill,Harrison Ford,Carrie Fisher",1980,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.",124,"Action,Adventure,Fantasy",English,United States,PG,8.7,Star Wars: Episode V - The Empire Strikes Back,The Empire Strikes Back,"https://m.media-amazon.com/images/M/MV5BYmU1NDRjNDgtMzhiMi00NjZmLTg5NGItZDNiZjU5NTU4OTE0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX190_CR0,7,190,281_.jpg"
"Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss",1999,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",136,"Action,Sci-Fi",English,"United States,Australia",R,8.7,The Matrix,,"https://m.media-amazon.com/images/M/MV5BNzQzOTk3OTAtNDQ0Zi00ZTVkLWI0MTEtMDllZjNkYzNjNTc4L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX190_CR0,2,190,281_.jpg"
"Toshirô Mifune,Takashi Shimura,Keiko Tsushima",1954,"Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him.",207,"Action,Drama",Japanese,Japan,Not Rated,8.6,Seven Samurai,Shichinin no samurai,"https://m.media-amazon.com/images/M/MV5BNWQ3OTM4ZGItMWEwZi00MjI5LWI3YzgtNTYwNWRkNmIzMGI5XkEyXkFqcGdeQXVyNDY2MTk1ODk@._V1_QL75_UY281_CR5,0,190,281_.jpg"
"Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page",2010,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",148,"Action,Adventure,Sci-Fi","English,Japanese,French","United States,United Kingdom",PG-13,8.8,Inception,,"https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_QL75_UX190_CR0,0,190,281_.jpg"
"Brad Pitt,Edward Norton,Meat Loaf",1999,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,139,Drama,English,"Germany,United States",R,8.8,Fight Club,,"https://m.media-amazon.com/images/M/MV5BNDIzNDU0YzEtYzE5Ni00ZjlkLTk5ZjgtNjM3NWE4YzA3Nzk3XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX190_CR0,0,190,281_.jpg"
"Elijah Wood,Ian McKellen,Viggo Mortensen",2002,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",179,"Action,Adventure,Drama","English,Sindarin,Old English","New Zealand,United States",PG-13,8.8,The Lord of the Rings: The Two Towers,,"https://m.media-amazon.com/images/M/MV5BZGMxZTdjZmYtMmE2Ni00ZTdkLWI5NTgtNjlmMjBiNzU2MmI5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX190_CR0,7,190,281_.jpg"
"Tom Hanks,Robin Wright,Gary Sinise",1994,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",142,"Drama,Romance",English,United States,PG-13,8.8,Forrest Gump,,"https://m.media-amazon.com/images/M/MV5BNWIwODRlZTUtY2U3ZS00Yzg1LWJhNzYtMmZiYmEyNmU1NjMzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UY281_CR2,0,190,281_.jpg"
"Clint Eastwood,Eli Wallach,Lee Van Cleef",1966,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,178,"Adventure,Western","Italian,English","Italy,Spain,West Germany",R,8.8,"The Good, the Bad and the Ugly","Il buono, il brutto, il cattivo","https://m.media-amazon.com/images/M/MV5BNjJlYmNkZGItM2NhYy00MjlmLTk5NmQtNjg1NmM2ODU4OTMwXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX190_CR0,2,190,281_.jpg"
"John Travolta,Uma Thurman,Samuel L. Jackson",1994,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",154,"Crime,Drama","English,Spanish,French",United States,R,8.9,Pulp Fiction,,"https://m.media-amazon.com/images/M/MV5BNGNhMDIzZTUtNTBlZi00MTRlLWFjM2ItYzViMjE3YzI5MjljXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UY281_CR2,0,190,281_.jpg"
"Henry Fonda,Lee J. Cobb,Martin Balsam",1957,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,96,"Crime,Drama",English,United States,Approved,9.0,12 Angry Men,,"https://m.media-amazon.com/images/M/MV5BMWU4N2FjNzYtNTVkNC00NzQ0LTg0MjAtYTJlMjFhNGUxZDFmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_QL75_UX190_CR0,6,190,281_.jpg"
"Al Pacino,Robert De Niro,Robert Duvall",1974,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",202,"Crime,Drama","English,Italian,Spanish,Latin,Sicilian",United States,R,9.0,The Godfather Part II,,"https://m.media-amazon.com/images/M/MV5BMWMwMGQzZTItY2JlNC00OWZiLWIyMDctNDk2ZDQ2YjRjMWQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UY281_CR4,0,190,281_.jpg"
"Elijah Wood,Viggo Mortensen,Ian McKellen",2003,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,201,"Action,Adventure,Drama","English,Quenya,Old English,Sindarin","New Zealand,United States",PG-13,9.0,The Lord of the Rings: The Return of the King,,"https://m.media-amazon.com/images/M/MV5BNzA5ZDNlZWMtM2NhNS00NDJjLTk4NDItYTRmY2EwMWZlMTY3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX190_CR0,0,190,281_.jpg"
"Elijah Wood,Ian McKellen,Orlando Bloom",2001,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,178,"Action,Adventure,Drama","English,Sindarin","New Zealand,United States",PG-13,8.8,The Lord of the Rings: The Fellowship of the Ring,,"https://m.media-amazon.com/images/M/MV5BN2EyZjM3NzUtNWUzMi00MTgxLWI0NTctMzY4M2VlOTdjZWRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_QL75_UX190_CR0,0,190,281_.jpg"
"Liam Neeson,Ralph Fiennes,Ben Kingsley",1993,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",195,"Biography,Drama,History","English,Hebrew,German,Polish,Latin",United States,R,9.0,Schindler's List,,"https://m.media-amazon.com/images/M/MV5BNDE4OTMxMTctNmRhYy00NWE2LTg3YzItYTk3M2UwOTU5Njg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX190_CR0,2,190,281_.jpg"
"Marlon Brando,Al Pacino,James Caan",1972,The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.,175,"Crime,Drama","English,Italian,Latin",United States,R,9.2,The Godfather,,"https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UY281_CR4,0,190,281_.jpg"
