acteurs,date,descriptions,duree,genre,langue,pays,public,score,titre,titre_original,url
"Lubna Azabal,Mélissa Désormeaux-Poulin,Maxim Gaudette",2010,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,131,"Drama,Mystery","French,Arabic,English","Canada,France",R,8.3,Incendies,,"https://m.media-amazon.com/images/M/MV5BMWE3MGYzZjktY2Q5Mi00Y2NiLWIyYWUtMmIyNzA3YmZlMGFhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX190_CR0,2,190,281_.jpg"
"Edward Asner,Jordan Nagai,John Ratzenberger",2009,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.",96,"Animation,Adventure,Comedy",English,United States,PG,8.3,Up,,"https://m.media-amazon.com/images/M/MV5BMTk3NDE2NzI4NF5BMl5BanBnXkFtZTgwNzE1MzEyMTE@._V1_QL75_UX190_CR0,2,190,281_.jpg"
"Gregory Peck,John Megna,Frank Overton",1962,"Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a black man against an undeserved rape charge, and his children against prejudice.",129,"Crime,Drama",English,United States,Approved,8.3,To Kill a Mockingbird,,"https://m.media-amazon.com/images/M/MV5BNmVmYzcwNzMtMWM1NS00MWIyLThlMDEtYzUwZDgzODE1NmE2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX190_CR0,4,190,281_.jpg"
"Al Pacino,Michelle Pfeiffer,Steven Bauer",1983,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.",170,"Crime,Drama","English,Spanish",United States,R,8.3,Scarface,,"https://m.media-amazon.com/images/M/MV5BNjdjNGQ4NDEtNTEwYS00MTgxLTliYzQtYzE2ZDRiZjFhZmNlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX190_CR0,2,190,281_.jpg"
"Fred MacMurray,Barbara Stanwyck,Edward G. Robinson",1944,"A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator.",107,"Crime,Drama,Film-Noir",English,United States,Passed,8.3,Double Indemnity,,"https://m.media-amazon.com/images/M/MV5BOTdlNjgyZGUtOTczYi00MDdhLTljZmMtYTEwZmRiOWFkYjRhXkEyXkFqcGdeQXVyNDY2MTk1ODk@._V1_QL75_UX190_CR0,3,190,281_.jpg"
"Matthew Modine,R. Lee Ermey,Vincent D'Onofrio",1987,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,116,"Drama,War","English,Vietnamese","United Kingdom,United States",R,8.3,Full Metal Jacket,,"https://m.media-amazon.com/images/M/MV5BNzkxODk0NjEtYjc4Mi00ZDI0LTgyYjEtYzc1NDkxY2YzYTgyXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX190_CR0,2,190,281_.jpg"
"Lin-Manuel Miranda,Phillipa Soo,Leslie Odom Jr.",2020,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",160,"Biography,Drama,History",English,United States,PG-13,8.4,Hamilton,,"https://m.media-amazon.com/images/M/MV5BNjViNWRjYWEtZTI0NC00N2E3LTk0NGQtMjY4NTM3OGNkZjY0XkEyXkFqcGdeQXVyMjUxMTY3ODM@._V1_QL75_UX190_CR0,0,190,281_.jpg"
"Jack Lemmon,Shirley MacLaine,Fred MacMurray",1960,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.",125,"Comedy,Drama,Romance",English,United States,Approved,8.3,The Apartment,,"https://m.media-amazon.com/images/M/MV5BNzkwODFjNzItMmMwNi00MTU5LWE2MzktM2M4ZDczZGM1MmViXkEyXkFqcGdeQXVyNDY2MTk1ODk@._V1_QL75_UX190_CR0,9,190,281_.jpg"
"Malcolm McDowell,Patrick Magee,Michael Bates",1971,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.",136,"Crime,Sci-Fi",English,"United Kingdom,United States",X,8.3,A Clockwork Orange,,"https://m.media-amazon.com/images/M/MV5BMTY3MjM1Mzc4N15BMl5BanBnXkFtZTgwODM0NzAxMDE@._V1_QL75_UX190_CR0,0,190,281_.jpg"
"James Stewart,Kim Novak,Barbara Bel Geddes",1958,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.",128,"Mystery,Romance,Thriller",English,United States,PG,8.3,Vertigo,,"https://m.media-amazon.com/images/M/MV5BYTE4ODEwZDUtNDFjOC00NjAxLWEzYTQtYTI1NGVmZmFlNjdiL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_QL75_UX190_CR0,6,190,281_.jpg"
"Takashi Shimura,Nobuo Kaneko,Shin'ichi Himori",1952,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.,143,Drama,Japanese,Japan,Not Rated,8.3,Ikiru,,"https://m.media-amazon.com/images/M/MV5BZTcyYmQ2NDMtNWI1NS00MTNiLTk0NDctNWMwNWExYTNlYzk3XkEyXkFqcGdeQXVyMTA0MTM5NjI2._V1_QL75_UX190_CR0,2,190,281_.jpg"
"Cary Grant,Eva Marie Saint,James Mason",1959,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.",136,"Action,Adventure,Mystery","English,French",United States,Approved,8.3,North by Northwest,,"https://m.media-amazon.com/images/M/MV5BZDA3NDExMTUtMDlhOC00MmQ5LWExZGUtYmI1NGVlZWI4OWNiXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_QL75_UX190_CR0,2,190,281_.jpg"
"Peter O'Toole,Alec Guinness,Anthony Quinn",1962,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",218,"Adventure,Biography,Drama","English,Arabic,Turkish",United Kingdom,Approved,8.3,Lawrence of Arabia,,"https://m.media-amazon.com/images/M/MV5BYWY5ZjhjNGYtZmI2Ny00ODM0LWFkNzgtZmI1YzA2N2MxMzA0XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_QL75_UY281_CR3,0,190,281_.jpg"
"Audrey Tautou,Mathieu Kassovitz,Rufus",2001,"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.",122,"Comedy,Romance","French,Russian,English","France,Germany",R,8.3,Amélie,Le fabuleux destin d'Amélie Poulain,"https://m.media-amazon.com/images/M/MV5BNDg4NjM1YjMtYmNhZC00MjM0LWFiZmYtNGY1YjA3MzZmODc5XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_QL75_UX190_CR0,2,190,281_.jpg"
"Mads Mikkelsen,Thomas Bo Larsen,Annika Wedderkopp",2012,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",115,Drama,"Danish,English,Polish","Denmark,Sweden",R,8.3,The Hunt,Jagten,"https://m.media-amazon.com/images/M/MV5BMTg2NDg3ODg4NF5BMl5BanBnXkFtZTcwNzk3NTc3Nw@@._V1_QL75_UY281_CR4,0,190,281_.jpg"
"Orson Welles,Joseph Cotten,Dorothy Comingore",1941,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'",119,"Drama,Mystery","English,Italian",United States,PG,8.3,Citizen Kane,,"https://m.media-amazon.com/images/M/MV5BYjBiOTYxZWItMzdiZi00NjlkLWIzZTYtYmFhZjhiMTljOTdkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX190_CR0,2,190,281_.jpg"
"Harvey Keitel,Tim Roth,Michael Madsen",1992,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",99,"Crime,Thriller",English,United States,R,8.3,Reservoir Dogs,,"https://m.media-amazon.com/images/M/MV5BZmExNmEwYWItYmQzOS00YjA5LTk2MjktZjEyZDE1Y2QxNjA1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,1,190,281_.jpg"
"Aleksey Kravchenko,Olga Mironova,Liubomiras Laucevicius",1985,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.",142,"Drama,Thriller,War","Russian,Belarusian,German",Soviet Union,Not Rated,8.4,Come and See,Idi i smotri,"https://m.media-amazon.com/images/M/MV5BNzU3OTI1MjItYTJiZC00NDI0LWFlNGYtOTQ1OTVhNDgwM2U3XkEyXkFqcGdeQXVyNTc2MDU0NDE@._V1_QL75_UX190_CR0,0,190,281_.jpg"
"Peter Lorre,Ellen Widmann,Inge Landgut",1931,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",99,"Crime,Mystery,Thriller",German,Germany,Passed,8.3,M,M - Eine Stadt sucht einen Mörder,"https://m.media-amazon.com/images/M/MV5BODA4ODk3OTEzMF5BMl5BanBnXkFtZTgwMTQ2ODMwMzE@._V1_QL75_UX190_CR0,2,190,281_.jpg"
"Jim Carrey,Kate Winslet,Tom Wilkinson",2004,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories for ever.",108,"Drama,Romance,Sci-Fi",English,United States,R,8.3,Eternal Sunshine of the Spotless Mind,,"https://m.media-amazon.com/images/M/MV5BMTY4NzcwODg3Nl5BMl5BanBnXkFtZTcwNTEwOTMyMw@@._V1_QL75_UX190_CR0,0,190,281_.jpg"
"Keir Dullea,Gary Lockwood,William Sylvester",1968,"After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins - a spacecraft manned by two men and the supercomputer H.A.L. 9000.",149,"Adventure,Sci-Fi","English,Russian,French","United Kingdom,United States",G,8.3,2001: A Space Odyssey,,"https://m.media-amazon.com/images/M/MV5BMmNlYzRiNDctZWNhMi00MzI4LThkZTctMTUzMmZkMmFmNThmXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX190_CR0,0,190,281_.jpg"
"Zain Al Rafeea,Yordanos Shiferaw,Boluwatife Treasure Bankole",2018,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",126,Drama,"Arabic,Amharic","Lebanon,France,Cyprus,Qatar,United Kingdom",R,8.4,Capernaum,Capharnaüm,"https://m.media-amazon.com/images/M/MV5BY2Y3OWNkMTctYzNjYS00NWVkLTg4OWEtY2YxN2I3NDhlYzE0XkEyXkFqcGdeQXVyMTI3ODAyMzE2._V1_QL75_UY281_CR4,0,190,281_.jpg"
"Toshirô Mifune,Yutaka Sada,Tatsuya Nakadai",1963,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.,143,"Crime,Drama,Mystery",Japanese,Japan,Not Rated,8.4,High and Low,Tengoku to jigoku,"https://m.media-amazon.com/images/M/MV5BZGQ1NWZlYjctNDJmOS00MmU2LTg1ODItNmZiM2ZkNzJhNDI0XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_QL75_UY281_CR4,0,190,281_.jpg"
"Gene Kelly,Donald O'Connor,Debbie Reynolds",1952,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.,103,"Comedy,Musical,Romance",English,United States,G,8.3,Singin' in the Rain,,"https://m.media-amazon.com/images/M/MV5BZDRjNGViMjQtOThlMi00MTA3LThkYzQtNzJkYjBkMGE0YzE1XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_QL75_UY281_CR1,0,190,281_.jpg"
"Mark Hamill,Harrison Ford,Carrie Fisher",1983,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.",131,"Action,Adventure,Fantasy","English,Kikuyu,Tagalog,Kalmyk-Oirat,Quechua,Polish",United States,PG,8.3,Star Wars: Episode VI - Return of the Jedi,,"https://m.media-amazon.com/images/M/MV5BOWZlMjFiYzgtMTUzNC00Y2IzLTk1NTMtZmNhMTczNTk0ODk1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_QL75_UX190_CR0,7,190,281_.jpg"
"Tom Hanks,Tim Allen,Joan Cusack",2010,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",103,"Animation,Adventure,Comedy","English,Spanish",United States,G,8.3,Toy Story 3,,"https://m.media-amazon.com/images/M/MV5BMTgxOTY4Mjc0MF5BMl5BanBnXkFtZTcwNTA4MDQyMw@@._V1_QL75_UY281_CR5,0,190,281_.jpg"
"Aamir Khan,Madhavan,Mona Singh",2009,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",170,"Comedy,Drama","Hindi,English",India,PG-13,8.4,3 Idiots,,"https://m.media-amazon.com/images/M/MV5BNTkyOGVjMGEtNmQzZi00NzFlLTlhOWQtODYyMDc2ZGJmYzFhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UY281_CR3,0,190,281_.jpg"
"Ellen Burstyn,Jared Leto,Jennifer Connelly",2000,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,102,Drama,English,United States,Unrated,8.3,Requiem for a Dream,,"https://m.media-amazon.com/images/M/MV5BOTdiNzJlOWUtNWMwNS00NmFlLWI0YTEtZmI3YjIzZWUyY2Y3XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX190_CR0,2,190,281_.jpg"
"Ryûnosuke Kamiki,Mone Kamishiraishi,Ryô Narita",2016,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?",106,"Animation,Drama,Fantasy",Japanese,Japan,TV-PG,8.4,Your Name.,Kimi no Na wa.,"https://m.media-amazon.com/images/M/MV5BODRmZDVmNzUtZDA4ZC00NjhkLWI2M2UtN2M0ZDIzNDcxYThjL2ltYWdlXkEyXkFqcGdeQXVyNTk0MzMzODA@._V1_QL75_UX190_CR0,0,190,281_.jpg"
"Tom Cruise,Jennifer Connelly,Miles Teller",2022,"After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it.",130,"Action,Drama",English,United States,PG-13,8.4,Top Gun: Maverick,,"https://m.media-amazon.com/images/M/MV5BZWYzOGEwNTgtNWU3NS00ZTQ0LWJkODUtMmVhMjIwMjA1ZmQwXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_QL75_UX190_CR0,0,190,281_.jpg"
"Robin Williams,Matt Damon,Ben Affleck",1997,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",126,"Drama,Romance",English,United States,R,8.3,Good Will Hunting,,"https://m.media-amazon.com/images/M/MV5BOTI0MzcxMTYtZDVkMy00NjY1LTgyMTYtZmUxN2M3NmQ2NWJhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,4,190,281_.jpg"
"Yôji Matsuda,Yuriko Ishida,Yûko Tanaka",1997,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.",134,"Animation,Action,Adventure",Japanese,Japan,PG-13,8.4,Princess Mononoke,Mononoke-hime,"https://m.media-amazon.com/images/M/MV5BNGIzY2IzODQtNThmMi00ZDE4LWI5YzAtNzNlZTM1ZjYyYjUyXkEyXkFqcGdeQXVyODEzNjM5OTQ@._V1_QL75_UX190_CR0,2,190,281_.jpg"
"Mel Gibson,Sophie Marceau,Patrick McGoohan",1995,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,178,"Biography,Drama,History","English,French,Latin,Gaelic,Italian",United States,R,8.4,Braveheart,,"https://m.media-amazon.com/images/M/MV5BMzkzMmU0YTYtOWM3My00YzBmLWI0YzctOGYyNTkwMWE5MTJkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UY281_CR0,0,190,281_.jpg"
"Robert Downey Jr.,Chris Evans,Mark Ruffalo",2019,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",181,"Action,Adventure,Drama","English,Japanese,Xhosa,German",United States,PG-13,8.4,Avengers: Endgame,,"https://m.media-amazon.com/images/M/MV5BMTc5MDE2ODcwNV5BMl5BanBnXkFtZTgwMzI2NzQ2NzM@._V1_QL75_UX190_CR0,0,190,281_.jpg"
"Jürgen Prochnow,Herbert Grönemeyer,Klaus Wennemann",1981,A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.,149,"Drama,War",German,"West Germany,Italy,France,United Kingdom",,8.4,The Boat,Das Boot,"https://m.media-amazon.com/images/M/MV5BNDBjMWUxNTUtNjZiNi00YzJhLTgzNzUtMTRiY2FkZmMzYTNjXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_QL75_UX190_CR0,3,190,281_.jpg"
"Robert De Niro,James Woods,Elizabeth McGovern",1984,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.",229,"Crime,Drama","English,Italian,French,Yiddish,Hebrew","Italy,United States",R,8.3,Once Upon a Time in America,,"https://m.media-amazon.com/images/M/MV5BMGFkNWI4MTMtNGQ0OC00MWVmLTk3MTktOGYxN2Y2YWVkZWE2XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX190_CR0,8,190,281_.jpg"
"Tom Hanks,Tim Allen,Don Rickles",1995,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,81,"Animation,Adventure,Comedy",English,United States,G,8.3,Toy Story,,"https://m.media-amazon.com/images/M/MV5BMDU2ZWJlMjktMTRhMy00ZTA5LWEzNDgtYmNmZTEwZTViZWJkXkEyXkFqcGdeQXVyNDQ2OTk4MzI@._V1_QL75_UX190_CR0,1,190,281_.jpg"
