acteurs,date,descriptions,duree,genre,pays,public,score,titre,titre_original
"David Attenborough,Chadden Hunter,Gordon Buchanan",2016,David Attenborough returns with a new wildlife documentary that shows life in a variety of habitats.,298,Documentary,"United Kingdom,Germany,France,China,United States",TV-G,9.5,Planet Earth II,
"Hajime Yatate,Kôichi Yamadera,Unshô Ishizuka,Megumi Hayashibara",1998–1999,The futuristic misadventures and tragedies of an easygoing bounty hunter and his partners.,24,"Animation,Action,Adventure",Japan,TV-14,8.9,Cowboy Bebop,Original title: Kaubôi bibappu
"Nathan Fielder,Michael Koman,Nathan Fielder,Anthony Filosa,Salomon Flores",2013–2017,"Nathan Fielder uses his business degree and life experiences to help real small businesses turn a profit. But because of his unorthodox approach, Nathan's genuine efforts to do good often draw real people into an experience far beyond what they signed up for.",30,"Documentary,Comedy",United States,TV-14,8.9,Nathan for You,
"Noah Hawley,Billy Bob Thornton,Martin Freeman,Allison Tolman",2014– ,"Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota.",53,"Crime,Drama,Thriller",United States,TV-MA,8.9,Fargo,
"Jeremy Clarkson,Kaleb Cooper,Charlie Ireland",2021– ,Follow Jeremy Clarkson as he attempts to run a farm in the countryside.,45,"Documentary,Comedy,Reality-TV",United Kingdom,TV-PG,9.0,Clarkson's Farm,
"Alex Hirsch,Jason Ritter,Alex Hirsch,Kristen Schaal",2012–2016,"Twin siblings Dipper and Mabel Pines spend the summer at their great-uncle's tourist trap in the enigmatic Gravity Falls, Oregon.",23,"Animation,Action,Adventure",United States,TV-Y7,8.9,Gravity Falls,
"Haluk Bilginer,Cansu Dere,Metin Akdülger",2018,A man diagnosed with Alzheimer's decides to punish criminals.,65,"Crime,Drama,Mystery",Turkey,TV-MA,9.0,Persona,Original title: Sahsiyet
"Artur Barcis,Olgierd Lukaszewicz,Olaf Lubaszenko",1989–1990,"Ten television drama films, each one based on one of the Ten Commandments.",572,Drama,"Poland,West Germany",TV-MA,9.0,Dekalog,
"The Beatles,John Lennon,Paul McCartney",2021,Documentary about the music group The Beatles featuring in-studio footage that was shot in early 1969 for the 1970 feature film 'Let It Be.',468,"Documentary,Biography,Music","United Kingdom,New Zealand,United States",PG-13,9.0,The Beatles: Get Back,
"Yoshihiro Togashi,Issei Futamata,Megumi Han,Cristina Valenzuela",2011–2014,"Gon Freecss aspires to become a Hunter, an exceptional being capable of greatness. With his friends and his potential, he seeks out his father, who left him when he was younger.",24,"Animation,Action,Adventure","Japan,Poland",TV-14,9.0,Hunter x Hunter,
"Larry David,Jerry Seinfeld,Jerry Seinfeld,Julia Louis-Dreyfus,Michael Richards",1989–1998,The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.,22,Comedy,United States,TV-PG,8.9,Seinfeld,
"John Sullivan,David Jason,Nicholas Lyndhurst,Roger Lloyd Pack",1981–2003,Comedy that follows two brothers from London's rough Peckham estate as they wheel and deal through a number of dodgy deals and search for the big score that'll make them millionaires.,95,Comedy,United Kingdom,TV-PG,9.0,Only Fools and Horses,Original title: Only Fools and Horses....
"Vince Gilligan,Peter Gould,Bob Odenkirk,Rhea Seehorn,Jonathan Banks",2015–2022,The trials and tribulations of criminal lawyer Jimmy McGill in the years leading up to his fateful run-in with Walter White and Jesse Pinkman.,46,"Crime,Drama",United States,TV-MA,8.9,Better Call Saul,
"David McCullough,Sam Waterston,Julie Harris",1990,A comprehensive survey of the American Civil War.,680,"Documentary,History,War",United States,TV-14,9.1,The Civil War,
"Nic Pizzolatto,Vince Vaughn,Colin Farrell,Rachel McAdams",2014–2019,"Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law.",55,"Crime,Drama,Mystery",United States,TV-MA,8.9,True Detective,
"Mamoru Miyano,Brad Swaile,Vincent Tong",2006–2007,An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.,24,"Animation,Crime,Drama",Japan,TV-14,9.0,Death Note,Original title: Death Note: Desu nôto
"Anthony Horowitz,Michael Kitchen,Honeysuckle Weeks,Anthony Howell",2002–2015,"As WWII rages, DCS Foyle fights his own war on the home-front; investigating crime on the south coast of England. Later series, see the retired detective working as an MI5 agent in the aftermath of the war.",90,"Crime,Drama,Mystery",United Kingdom,TV-14,8.6,Foyle's War,
"Paul Giamatti,Laura Linney,John Dossett",2008,"The life of one of the USA's Founding Fathers, its second President, and his role in the nation's first 50 years.",71,"Biography,Drama,History",United States,TV-14,8.5,John Adams,
"Dylan Moran,Dylan Moran,Bill Bailey,Tamsin Greig",2000–2004,"Bernard Black runs a book shop, though his customer service skills leave something to be desired. He hires Manny as an employee. Fran runs the shop next door. Between the three of them many adventures ensue.",25,Comedy,United Kingdom,TV-PG,8.5,Black Books,
"Gülse Birsel,Levent Üzümcü,Senay Gürler",2004–2009,,60,Comedy,Turkey,,8.6,Avrupa Yakasi,
"Mark Edward Edens,Sidney Iwanter,Eric Lewald,Cedric Smith,Cal Dodd,Lenore Zann",1992–1997,A team of mutant superheroes fight for justice and human acceptance in the Marvel Comics universe.,23,"Animation,Action,Adventure","United States,Canada",TV-Y7,8.5,X-Men: The Animated Series,Original title: X-Men
"Lisa McGee,Saoirse-Monica Jackson,Louisa Harland,Tara Lynne O'Neill",2018–2022,The personal exploits of a 16-year-old girl and her family and friends during the Troubles in the early 1990s.,30,Comedy,United Kingdom,TV-MA,8.5,Derry Girls,
"Ann Biderman,Michael Cudlitz,Shawn Hatosy,Regina King",2009–2013,The lives of Police Officers working for the Los Angeles Police Department.,42,"Crime,Drama,Thriller",United States,TV-MA,8.5,Southland,
"Jack Amiel,Michael Begler,André Holland,Clive Owen,Jeremy Bobb",2014–2015,A look at the professional and personal lives of the staff at New York's Knickerbocker Hospital during the early part of the twentieth century.,58,"Drama,History",United States,TV-MA,8.5,The Knick,
"Paul Hollywood,Mary Berry,Prue Leith",2010– ,Bakers attempt three challenges each week trying to impress the judges enough to go through to the next round and eventually are crowned Britain's best amateur baker.,60,Reality-TV,United Kingdom,TV-PG,8.6,The Great British Baking Show,Original title: The Great British Bake Off
"Bono,Stevie Nicks,Dr. Dre",2017,"""The Defiant Ones"" examines the partnership between Jimmy Iovine and Dr. Dre - one the son of a Brooklyn longshoreman, the other straight out of Compton - and their leading roles in a chain of transformative events in contemporary culture.",60,"Documentary,Biography,Crime",United States,TV-MA,8.5,The Defiant Ones,
"Alfred Hitchcock,Harry Tyler,John Williams",1955–1962,"Series of unrelated short stories covering elements of crime, horror, drama, and comedy about people of different backgrounds committing murders, suicides, thefts, and other sorts of crime caused by certain motivations, perceived or not.",25,"Comedy,Crime,Drama",United States,TV-14,8.5,Alfred Hitchcock Presents,
